probe set	APCF1	APCF1	APCF1	APCF1	APCF10	APCF10	APCF10	APCF10	WTF1	WTF1	WTF1	WTF1	WTF10	WTF10	WTF10	WTF10
1415670_at	9.52	9.79	9.98	9.55	9.06	9.34	10.24	9.4	9.58	9.66	10.02	9.73	9.29	9.11	9.24	9.43
1415671_at	9.14	8.92	9.03	8.59	9	8.36	7.66	8.12	8.83	9.03	8.19	8.91	8.6	8.83	8.96	8.7
1415672_at	9.78	9.8	9.35	9.73	8.93	9.48	9.51	9.63	9.75	9.65	9.97	8.99	9.97	9.45	9.02	9.57
1415673_at	5.41	5.59	6.16	5.49	5.4	4.91	5.9	5.98	5.1	5.37	5.2	5.09	6.41	4.63	5.59	6.23
1415674_a_at	8.84	9.3	7.9	8.92	8.54	7.98	7.74	8.56	8.43	8.91	8.68	8.35	8.87	8.51	8.51	8.49
1415675_at	7.47	7.36	7.54	7.25	7.74	7.17	6.58	7.3	7.53	7.27	7.89	7.51	7.54	7.41	7.4	7.35
1415676_a_at	9.09	9.29	9.03	8.67	10.05	9.11	8.44	8.6	8.74	9.03	8.35	9.2	10.04	9.37	10.04	9.55
1415677_at	10.6	10.66	9.42	10.16	9.62	8.76	7.44	9.01	10.52	10.52	9.64	9.92	9.13	9.8	9.63	9.45
1415678_at	9.67	9.51	9.41	9.53	9.23	8.56	8.01	9	9.32	9.5	8.99	9.56	9.16	9.12	9.01	9.81
1415679_at	10.26	10.37	10.17	10.19	9.82	9.43	9.57	9.88	10.21	10.35	10.22	10.12	10.19	10.01	10.09	9.65
1415680_at	9.19	9.27	9.24	9.23	9.21	9.14	9.12	9.46	8.92	9.1	9.92	9.25	9.86	9.2	9.15	9.51
1415681_at	8.74	9.32	8.29	8.66	9.36	8.57	8.55	8.84	8.49	8.87	8.95	8.67	9.2	9.08	9.25	9.53
1415682_at	6.45	6.65	5.26	6.46	6.59	6.6	6.44	7.04	6.4	6.26	6.19	6.72	7.69	6.63	6.86	6.89
1415683_at	9.97	10.12	9.98	9.98	10.34	10.23	10	10.31	9.33	9.88	10.1	9.7	10.69	10.38	10.23	10.6
1415684_at	8.08	7.96	6.61	7.9	7.42	7.03	7.31	7.77	7.73	7.73	7.15	6.81	8.29	7.06	7.38	6.72
